listing_id,artist,title,label,catno,format,release_id,status,price,listed,comments,media_condition,sleeve_condition,accept_offer,external_id,weight,format_quantity,location
1510888348,Rick James,Street Songs,Gordy,G8-1002M1,"LP, Album",176072,Sold,8.0,2021-06-15 09:09:11,"Wax looks great, with only tiny scuff, Jacket has been loved with scuffed edges, inner sleeve intact, have kept wax in Mofi Archive sleeve. 80's Boogie mega classic. ",Very Good Plus (VG+),Very Good (VG),N,,230,1,"Morristown, NJ"
1510888930,Rick James,Come Get It!,Gordy,G7-981R1,"LP, Album",726381,Sold,8.0,2021-06-15 09:11:25,"Wax shows slight signs of wear, plays clean. Jacket has worn edges, kept in 3mm poly sleeve. Wax kept in MoFi Archive inner sleeve. Fantastic funk album.",Very Good (VG),Very Good (VG),N,,230,1,"Morristown, NJ"
1511232388,Defunkt,Defunkt,Hannibal Records,HNBL 1301,"LP, Album",2563792,Sold,10.0,2021-06-15 12:32:55,"Wax looks near mint, jacket has top right corner cut, shelf wear. Fusion of punk rock, funk, and jazz",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,"Morristown, NJ"
1518223717,Commodores,All The Great Hits,Motown,6028ML,"LP, Comp",478427,Sold,10.0,2021-06-21 13:39:15,"Funk and soul masters greatest hits. Wax in fantastic shape, no marks, full of luster. Jackets has slight shelf wear, top left corner bump. Listen to our audio sample to hear for yourself.",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,"morristown, nj"
1518225055,Eazy-E,Eazy-Duz-It / Ruthless Villain / Radio,"Ruthless Records, Priority Records",VL 9757,"12"", Single",333864,Sold,15.0,2021-06-21 13:45:14,"Eazy-E solo 12"" with the help of Dr.Dre. Classic! Wax is shiny, fantastic shape, sounds great. Jacket has shelf wear and corner bumps. Wax outside jacket, inside a Mofi Archive inner sleeve. Have a listen to our audio sample",Very Good Plus (VG+),Very Good (VG),N,,230,1,"morristown, nj"
1518234787,Lord Finesse,Return Of The Funky Man,Traffic Entertainment Group,TEG 75508-1,"2xLP, Album, RE",597826,Sold,40.0,2021-06-21 14:09:34,"Wax looks perfect, sounds fantastic. Jackets has ever so slight corner bumps, otherwise flawless. Wax kept inside archive quality inner sleeves outside of jacket to prevent ring wear. Have a listen to audio sample to hear and judge for yourself.",Near Mint (NM or M-),Near Mint (NM or M-),N,,460,2,"morristown, nj"
1549711597,Donna Summer,Bad Girls,Casablanca,NBLP-2-7150,"2xLP, Album, 53 ",224935,Sold,15.0,2021-07-14 10:06:15,"Wax in good shape, still with gloss. Jacket was edge wear. Original red inner lyrics sleeves included .Wax kept in Mofi Inner sleeves outside of jacket. Everything kept in 3mm poly. Inspect our audio sample to hear the quality of this vinyl for yourself. ",Very Good Plus (VG+),Very Good (VG),N,,460,2,"morristown, nj"
1552865512,The Wild Tchoupitoulas,The Wild Tchoupitoulas,"Island Records, Island Records","ILPS 9360, ILPS-9360","LP, Album, Pit",1386802,Sold,20.0,2021-07-16 07:12:38,"Fantastic musicianship and grooves.Wax has small scuffs, otherwise sounds great. Jacket has light edge and corner wear. Wax kept inside Mofi inner sleeve outside of jacket. Check audio sample for your own inspection.",Very Good Plus (VG+),Very Good Plus (VG+),N,,230,1,"Morristown, NJ"
1510893418,Donna Summer,Bad Girls,"Casablanca, Casablanca","NBLP 7150/2, NBLP 7150","2xLP, Album, Gat",800416,Sold,10.0,2021-12-21 16:00:47,"ONLY Disc 1, Disc 2 is missing. Wax looks great, plays super clean. Jacket has slight ring wear and wear on corners and edges. The ultimate disco album by the disco queen herself",Very Good Plus (VG+),Very Good (VG),N,,460,2,"Morristown, NJ"
1530795724,Parliament,Motor Booty Affair,Casablanca,NBLP 7125,"LP, Album, Kee",202997,Sold,50.0,2021-12-21 16:00:47,"Wax is glossy and magnificent, label spotless, the unique P-Funk tracks sound excellent, listen to our audio sample. Jacket has small notch in spine from radio station. Original lyrics inner sleeve included. Wax kept outside of jacket, inside archival quality inner.",Near Mint (NM or M-),Very Good (VG),N,,230,1,"Morristown, NJ"
1518233230,Michael Jackson,Thriller,"Epic, MJJ Productions Inc., Legacy","888697353391-1, 88697353391, 8869735339","LP, Album, Pic, RE",10186356,Sold,20.0,2022-01-12 11:58:42,"Best selling album of all time, now with Michael's picture on the wax, groovy! Wax looks great, basically never played. Original plastic fold sleeve, and original inner sleeve included. Wax kept in Mofi master inner sleeve. Have a listen to the audio sample to hear the quality for yourself.",Near Mint (NM or M-),Near Mint (NM or M-),N,,230,1,"Morristown, NJ"
1805896969,Stevie Wonder,Songs In The Key Of Life,Tamla,T13-340C2,"2xLP, Ter + 7"", EP + Album, Gat",266650,Sold,35.0,2022-01-25 09:24:07,"Wax in very good physical shape (on the edge of VG+), sounds good too, take a listen to our audio sample of this copy to hear for yourself. Jacket has 1 seem split, and edge wear for its age. The original inner lyrics book is included. Wax kept in archival quality inner sleeve for preservation. We are a small family run record shop that values honesty and great vinyl like this one.",Very Good (VG),Very Good (VG),N,,750,3,"morristown, nj"
1797596578,No Artist,Environments (New Concepts In Stereo Sound) (Disc 2),Atlantic,SD 66002,"LP, PR ",176729,Sold,15.0,2022-01-25 09:24:08,"Wax looks and sounds great, jacket has normal shelf wear. Listen to our audio sample for your own inspection, were a small family record shop that values honesty and great vinyl",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
1822067071,Al Green,Call Me,Motown,5286ML,"LP, Album, RE",17585359,Sold,15.0,2022-01-26 11:45:18,"Wax in excellent shape, listen to our audio sample of this copy to hear for yourself. Jacket in very good condition with only minimal shelf wear and corner bumps. Original Motown inner sleeve included. Pictures available upon request.",Near Mint (NM or M-),Very Good Plus (VG+),N,,230,1,
1827296905,Marvin Gaye,"Here, My Dear","Tamla, Tamla","T 364LP2, T 364 LP2","2xLP, Album, M/Print, Gat",4866022,Sold,45.0,2022-01-29 18:24:33,"Wax looks nearly flawless, listen to our audio sample to hear for yourself. Marvin was goin' through some stuff!! Jacket and label has previous owner initials. Corner bumps, cutout on lower right corner,.",Near Mint (NM or M-),Very Good Plus (VG+),N,,460,2,
